idx,audiocap_id,original_caption,neg_minimal_semantic_flip_gpt,neg_meaning_flip_claude,neg_visual_only_details,neg_reasoning_inference,neg_hallucinations,neg_quantitative_distortion,neg_partial_contradiction,neg_causal_inconsistency,neg_acoustic_scale_violation,neg_scene_coherence_violation,neg_different_words_different_meaning,neg_reasoning,neg_visual_info,neg_partial_hallucinations,neg_missing_info,neg_wrong_lex_sim,neg_wrong_lex_diff
49,107284,Bells ring followed by humming and vibrations as a train passes while blowing a horn,Bells silence followed by humming and vibrations as a train passes while blowing a horn,Bells ring followed by humming and vibrations as a train passes while silencing a horn,"Silver bells ring followed by humming and vibrations as a blue diesel train passes on elevated tracks while blowing a horn, with passengers visible in the windows.","Bells ring followed by humming and vibrations as a train passes while blowing a horn, likely signaling its approach to a station where passengers are waiting anxiously to board.","Bells ring sharply from a nearby church steeple, followed by a low, resonant humming and gentle vibrations as a vintage diesel locomotive rumbles past, blowing its horn with a deep, echoing blast that startles a flock of pigeons into flight.",Bells ring followed by humming and vibrations as a train passes while blowing a horn softly,Bells ring followed by quiet humming and vibrations as a train passes while blowing a horn,Humming and vibrations followed by bells ring as a train passes while blowing a horn,A single cricket's chirp overpowers bells ringing followed by humming and vibrations as a train passes while blowing a horn,Bells ring followed by humming and vibrations as a train passes while blowing a horn and dry leaves crackle underfoot.,A cello bows slowly in a dim concert hall as distant thunder rumbles and a single raindrop taps against a windowpane.,"Bells ring followed by humming and vibrations as a train passes while blowing a horn, likely signaling its approach to a station where passengers are waiting anxiously to board.","Bells ring followed by humming and vibrations as a silver passenger train passes on elevated tracks while blowing a horn, with passengers visible in the windows.",Bells ring followed by humming and vibrations as a truck drives by while honking,Bells ring.,Bells ring followed by humming and vibrations as a train passes while silencing a horn,A cello bows slowly in a dim concert hall as distant thunder rumbles and a single raindrop taps against a windowpane.
50,107285,A vehicle engine revving as a crowd of people talk,A vehicle engine silencing as a crowd of people talk,A crowd of people revving as a vehicle engine talks,A red sedan's engine revs on a sunlit street as a crowd of people in colorful shirts talk next to a park bench.,"A vehicle engine revving as a crowd of people talk, likely excitedly anticipating a race about to begin.",A sleek black sports car engine revs loudly as a crowd of excited spectators chatter animatedly at a nighttime street race in downtown Miami.,A vehicle engine revving as one person talks,A silent vehicle engine revving as a crowd of people talk,A vehicle engine revving as a crowd of people talk,A single cricket's chirp overpowers a vehicle engine revving as a crowd of people talk,A vehicle engine revving as a crowd of people talk while ocean waves crash nearby.,Wind howls through bare tree branches while distant thunder rumbles overhead.,"A vehicle engine revving as a crowd of people talk, likely excitedly anticipating a race about to begin.",A red sedan's engine revs on a sunlit street as a crowd of people in colorful shirts talk next to a park bench.,A vehicle engine revving as a group of children shout,A crowd of people talk.,A crowd of people revving as a vehicle engine talks,Wind howls through narrow alleyways as distant thunder rumbles overhead.
51,107283,Several ducks quack and chirp as men speak and wind blows,Several ducks laugh and sing as men scream and wind calms,Several men quack and chirp as ducks speak and wind blows,Several brown mallard ducks quack and chirp while sitting on a wooden dock as two bearded men in blue jackets speak nearby and wind blows through tall grass.,"Several ducks quack and chirp as men speak and wind blows, with the ducks sounding alarmed because they sense a predator nearby, while the men are chatting casually, unaware of the ducks' distress.",Several mallard ducks quack and chirp excitedly near a serene lakeside as two middle-aged men in casual jackets speak animatedly under a light breeze from the northwest.,One duck quack and chirp as men speak and wind blows,Several silent ducks quack and chirp as men speak and wind blows,Several ducks quack and chirp as men speak and wind blows,A single feather falling drowns out several ducks quacking and chirping as men speak and wind blows,Several ducks quack and chirp as men speak and wind blows while a frozen lake creaks underfoot.,A train whistle echoes through a valley as wheels clatter over tracks and distant cows low in a pasture.,"Several ducks quack and chirp as men speak and wind blows, with the ducks sounding excitedly eager to be fed, while the men are likely discussing their fishing plans before the storm arrives.",Several brown mallard ducks quack and chirp while standing in a pond as two men in blue jackets speak nearby and wind blows through tall grass.,Several geese honk and chirp as men speak and wind blows,Wind blows in the background.,Several men quack and chirp as ducks speak and wind blows,A train whistle echoes through a valley as wheels clatter over tracks and distant church bells chime.
52,107280,A woman talking as a baby talks followed by plastic thumping,A woman crying as a baby cries followed by plastic thumping,A baby talking as a woman talks followed by plastic thumping,A woman in a blue dress talking as a baby in a yellow onesie talks followed by plastic thumping on a wooden floor,"A woman talking as a baby talks followed by plastic thumping, likely because the baby is playing with a toy and the woman is encouraging it happily.","A woman in a cozy nursery talks gently to her six-month-old baby, who babbles happily in response, followed by the sound of a plastic rattle thumping rhythmically against a wooden floor.",A woman talking as a baby talks followed by plastic thumping loudly,A woman talking as a baby talks followed by silent plastic thumping,Plastic thumping followed by a woman talking as a baby talks,A baby's quiet coo overpowers a woman talking and plastic thumping.,A woman talking as a baby talks followed by plastic thumping while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks open.,"A woman talking as a baby talks followed by plastic thumping, likely because the baby is playing with a toy and the woman is encouraging it happily.",A woman in a blue dress talking as a baby in a yellow onesie talks followed by plastic thumping on a wooden floor,A woman talking as a child giggles followed by plastic thumping,A woman talking.,A baby talking as a woman talks followed by plastic thumping,Wind howls through narrow alleyways as distant thunder rumbles and a metal gate creaks open.
53,107288,A sewing machine operating as a machine motor hisses loudly in the background,A sewing machine idling as a machine motor hisses loudly in the background,A machine motor operating as a sewing machine hisses loudly in the background,A vintage white sewing machine operating on a wooden table as a machine motor hisses loudly in the background,"A sewing machine operating as a machine motor hisses loudly in the background, indicating the operator is working urgently to finish a deadline.","A vintage Singer sewing machine operates steadily as a humming machine motor hisses loudly in the background of a cozy, sunlit craft room.",A sewing machine operating as a machine motor hisses softly in the background,A sewing machine operating as a machine motor hisses silently in the background,A machine motor hisses loudly in the background as a sewing machine operating,A pin dropping overpowers a sewing machine operating as a machine motor hisses loudly in the background,A sewing machine operating as a machine motor hisses loudly in the background while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A sewing machine operating as a machine motor hisses loudly in the background, likely because the motor is overheating from prolonged use, and the operator is nervously trying to finish a deadline order.",A vintage white sewing machine operating on a wooden table as a machine motor hisses loudly in the background,A sewing machine operating as a vacuum cleaner hums loudly in the background,Mechanical noise is heard in the background.,A machine motor operating as a sewing machine hisses loudly in the background,Wind howls through narrow alleyways as distant thunder rumbles overhead.
54,107289,Digital beeps repeating then a person speaks,Digital beeps repeating then a person stays silent,Digital beeps repeating then a person is silent,"Digital beeps repeating from a black monitor on a wooden desk, then a young woman wearing a blue shirt speaks.","Digital beeps repeating then a person speaks, likely trying to get attention before delivering an urgent message.","Digital beeps repeating rhythmically from a vintage computer terminal, then a calm female voice speaks clearly in a dimly lit control room.",Digital beeps repeating then a person speaks loudly,Silent digital beeps repeating then a person speaks,A person speaks then digital beeps repeating,A faint cricket chirp overpowers digital beeps repeating then a person speaks,Digital beeps repeating then a person speaks while ocean waves crash in the background.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"Digital beeps repeating then a person speaks, likely trying to get attention before delivering urgent news.","Digital beeps repeating from a black monitor on a wooden desk, then a young woman in a blue shirt speaks.",Digital beeps repeating then a phone rings,Digital beeps repeating.,Digital beeps repeating then a person is silent,Wind howls through narrow alleyways as distant thunder rumbles overhead.
55,105082,A man and woman laughing followed by a man shouting then a woman laughing as a child laughs,A man and woman crying followed by a man whispering then a woman crying as a child cries,A man and woman crying followed by a man shouting then a woman crying as a child cries,"A bearded man and a woman in a red dress laughing while sitting on a park bench, followed by a tall man in a suit shouting near a wooden table, then the woman laughing again as a young child in a blue shirt laughs beside them.","A man and woman laughing happily, sharing a joke, followed by a man shouting in frustration because he lost a game, then a woman laughing with amusement as a child laughs joyfully, enjoying the playful chaos.","A man and woman laughing joyfully in a cozy living room, followed by a man shouting in frustration from the kitchen, then a woman laughing warmly as a toddler giggles uncontrollably nearby.",A man and woman laughing followed by a man shouting then a woman laughing as a child laughs loudly,A man and woman laughing followed by a man shouting then a woman laughing as a child silently laughs,A man shouting then a woman laughing as a child laughs followed by a man and woman laughing,"A child's faint giggle overpowers a man and woman laughing, followed by a man shouting, then a woman laughing as the child laughs.",A man and woman laughing followed by a man shouting then a woman laughing as a child laughs while ocean waves crash nearby.,Wind howls through narrow alleyways as distant thunder rumbles and a lone bicycle bell dings faintly.,"A man and woman laughing happily, sharing a joke, followed by a man shouting in frustration because he lost a game, then a woman laughing with amusement as a child laughs joyfully, enjoying the playful chaos.","A bearded man and a woman in a red dress laughing while sitting on a park bench, followed by a tall man in a suit shouting near a wooden table, then the woman laughing again as a young child in a blue shirt laughs beside them.",A man and woman laughing followed by a man coughing then a woman laughing as a child laughs,A man and woman laughing.,A man and woman crying followed by a man shouting then a woman crying as a child cries,Wind howls through narrow alleyways as distant thunder rumbles and a lone bicycle bell dings faintly.
56,81991,Crumpling paper noise with female speech,Crumpling paper noise with male speech,Crumpling paper noise with male speech,Crumpling paper noise with a young woman wearing a red sweater speaking while sitting at a wooden desk.,"Crumpling paper noise with female speech, as she nervously tries to gather her thoughts before presenting an important idea.","Crumpling paper noise with a young woman speaking softly in a cozy coffee shop, her voice slightly muffled by the rustling sound.",Crumpling paper noise with one female speech,Soundless crumpling paper noise with female speech,Crumpling paper noise with female speech,A mouse's squeak drowns out crumpling paper noise with female speech,Crumpling paper noise with female speech while ocean waves crash in the background.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"Crumpling paper noise with female speech, as she nervously tries to gather her thoughts before presenting an important report.",Crumpling paper noise with a young woman wearing a blue sweater speaking while sitting at a wooden desk.,Rustling fabric noise with female speech,Crumpling paper noise.,Crumpling paper noise with male speech,Wind howls through narrow alleyways as distant thunder rumbles overhead.
57,19586,A bell is ringing loudly and quickly,A bell is ringing softly and slowly,A bell is ringing quietly and slowly,A brass bell is ringing loudly and quickly on a wooden table in a sunlit room.,"A bell is ringing loudly and quickly, signaling the end of class as students eagerly anticipate the break.",A brass church bell is ringing loudly and quickly in a misty mountain village at dawn.,A bell is ringing softly and quickly,A silent bell is ringing loudly and quickly,A bell is ringing loudly and quickly,A mouse's squeak drowns out a bell ringing loudly and quickly,A bell is ringing loudly and quickly while a frozen lake creaks underfoot.,Wind howls through narrow alleyways as distant thunder rumbles overhead.,"A bell is ringing loudly and quickly, signaling the end of class as students eagerly anticipate the break.",A brass bell is ringing loudly and quickly on a wooden table in a sunlit room.,A buzzer is sounding loudly and quickly,A bell is ringing.,A bell is ringing softly and slowly,Wind howls through narrow alleyways as distant thunder rumbles overhead.
58,103478,Several birds chirp with some hissing,Several birds hiss with some chirping,Several hissing chirp with some birds,"Several small brown birds chirp while perched on a wooden fence, with some hissing coming from a gray tabby cat lying under a bush nearby.","Several birds chirp with some hissing, likely startled by a nearby predator and trying to warn each other.",Several sparrows chirp melodiously near a garden fence while a curious tabby cat hisses softly from beneath a nearby bush.,One bird chirps with some hissing,Several silent birds chirp with some hissing,Several birds chirp with some hissing,A single falling leaf drowns out several birds chirping with some hissing,Several birds chirp with some hissing while heavy rain pours overhead.,A train whistle echoes through a valley as wheels grind against rails.,"Several birds chirp with some hissing, likely alarmed by a nearby predator and trying to scare it away.","Several small brown birds chirp while perched on a wooden fence, with some hissing coming from a gray tabby cat lying under a bush nearby.",Several birds chirp with some rustling,Birds are chirping.,Several hissing chirp with some birds,A train whistle echoes through a valley as wheels clatter over tracks.
59,103475,A man speaking as a crowd of people laugh and applaud,A man laughing as a crowd of people speak and boo,A crowd of people speaking as a man laughs and applauds,A tall bearded man in a suit is speaking on a stage as a crowd of people in casual clothing laugh and applaud next to a large window.,"A man speaking as a crowd of people laugh and applaud, clearly enjoying his joke and wanting to show their appreciation.",A man in a navy blue suit speaks enthusiastically into a vintage microphone on a dimly lit theater stage as a crowd of over 200 people laugh and applaud warmly.,A man speaking as one person laughs and applauds,A man speaking as a crowd of people laugh and applaud silently,A crowd of people laugh and applaud as a man speaking,A mouse's squeak drowns out a man speaking as a crowd of people laugh and applaud,A man speaking as a crowd of people laugh and applaud while a single person quietly snores in a silent library.,Wind howls through narrow alleyways as distant thunder rumbles and a lone owl calls from a treetop.,"A man speaking as a crowd of people laugh and applaud, clearly enjoying his joke and wanting to show their appreciation.",A tall bearded man in a suit is speaking on a stage as a crowd of people in formal attire laugh and applaud next to a large window.,A man speaking as a crowd of people cheer and whistle,A man is speaking.,A crowd of people speaking as a man laughs and applauds,Wind howls through narrow alleyways as distant thunder rumbles overhead.
60,103474,A small motor buzzing followed by a man speaking as a metal door closes,A small motor buzzing followed by a man speaking as a metal door opens,A small motor buzzing followed by a man speaking as a metal door opens,A small motor buzzing followed by a bearded man in a blue shirt speaking as a gray metal door closes next to a window.,"A small motor buzzing followed by a man speaking as a metal door closes, the man speaking nervously, trying to calm himself before entering a secure room.",A small motor buzzing faintly in a dimly lit industrial corridor followed by a middle-aged man speaking calmly in a British accent as a heavy steel door with a rusted hinge closes slowly behind him.,A small motor buzzing followed by a man speaking as a metal door closes loudly,A small motor buzzing followed by a man speaking as a silent metal door closes,A man speaking as a metal door closes followed by a small motor buzzing,A fly's wingbeat overpowers a small motor buzzing followed by a man speaking as a metal door closes,A small motor buzzing followed by a man speaking as a metal door closes while ocean waves crash nearby.,Wind howls through canyon walls as distant thunder rumbles and leaves rustle violently.,"A small motor buzzing followed by a man speaking as a metal door closes, because he is trying to announce his arrival before entering the room.",A small motor buzzing followed by a bearded man in a blue shirt speaking as a gray metal door closes next to a window.,A small motor buzzing followed by a woman speaking as a metal door closes,A small motor buzzing.,A small motor buzzing followed by a man speaking as a metal door opens,Wind howls through narrow alleyways as distant thunder rumbles and a bicycle bell rings sharply.
61,103477,Clip-clops gallop as the wind blows and thunder cracks,Clip-clops gallop as the wind calms and thunder soothes,Clip-clops gallop as the wind blows and thunder rumbles,Clip-clops gallop from a black horse running on a muddy trail as the wind blows and thunder cracks under a dark stormy sky.,"Clip-clops gallop as the wind blows and thunder cracks, the horse racing desperately to reach shelter before the storm worsens.","Clip-clops gallop as the wind blows and thunder cracks—hooves pounding across a rain-slicked cobblestone street in old Edinburgh, where a lone rider in a dark cloak urges his black stallion forward beneath flickering gas lamps.",Clip-clops gallop as the wind blows and thunder cracks softly,Clip-clops gallop as the wind blows and soundless thunder cracks,Thunder cracks and wind blows as clip-clops gallop,A single dewdrop falling overpowers clip-clops galloping as the wind blows and thunder cracks,Clip-clops gallop as the wind blows and thunder cracks while dry leaves crackle underfoot.,A needle scratches vinyl as a crowd cheers in a dimly lit club.,"Clip-clops gallop as the wind blows and thunder cracks, the horse running nervously in fear of the storm.",Clip-clops gallop from a black horse running on a muddy trail as the wind blows and thunder cracks under a dark stormy sky.,Clip-clops gallop as leaves rustle and thunder cracks,Thunder cracks in the distance.,Clip-clops gallop as the wind blows and thunder rumbles,A saxophone wails in a dim jazz club as glasses clink and footsteps shuffle across wooden floors.
62,106483,Electronic beeping as a man talks and water pouring in the background,Electronic beeping as a man laughs and water freezing in the background,Electronic beeping as water talks and a man pouring in the background,Electronic beeping as a man wearing a blue shirt talks and water pours from a silver faucet in the background next to a window.,"Electronic beeping as a man talks, nervously trying to explain something while water pours in the background, perhaps because he’s cooking and distracted.","Electronic beeping from a medical monitor as a calm male nurse in a hospital room speaks softly, while water pours steadily from a stainless steel faucet in the background.",Electronic beeping as a man talks and water pouring loudly in the background,Electronic beeping as a man talks and still water pouring in the background,Electronic beeping as a man talks and water pouring in the background,A single drop of water pouring drowns out electronic beeping as a man talks and water pouring in the background,Electronic beeping as a man talks and water pouring in the background while dry leaves crackle underfoot.,Wind howls through narrow alleyways as distant church bells chime and a street musician strums a guitar.,"Electronic beeping as a man talks, nervously trying to explain something while water pours in the background, perhaps because he’s preparing coffee to calm his nerves.",Electronic beeping as a man wearing a blue shirt talks and water pours from a silver faucet in the background next to a window.,Electronic beeping as a woman talks and ice clinking in a glass in the background,Electronic beeping is heard.,Electronic beeping as water talks and a man pouring in the background,Wind howls through narrow alleyways as distant thunder rumbles and a bicycle bell rings sharply.
63,103470,Food and oil sizzling as a woman is talking followed by dinner plates clanking,Food and oil sizzling as a woman is silent followed by dinner plates clanking,A woman and oil sizzling as food is talking followed by dinner plates clanking,"Food and oil sizzling in a stainless steel pan as a woman wearing a red apron is talking in a kitchen, followed by dinner plates clanking on a wooden table.","Food and oil sizzling as a woman is talking happily, trying to entertain her guests before dinner is served, followed by dinner plates clanking as someone sets the table in anticipation of the meal.","A woman in a cozy Italian kitchen talks animatedly while pasta and olive oil sizzle in a copper pan, followed by the clinking of ceramic dinner plates as she sets the table for four.",Food and oil sizzling as a woman is talking followed by one dinner plate clanking,Food and oil sizzling as a woman is talking followed by motionless dinner plates clanking,Dinner plates clanking followed by food and oil sizzling as a woman is talking,A mouse's squeak drowns out food and oil sizzling as a woman is talking followed by dinner plates clanking,Food and oil sizzling as a woman is talking followed by dinner plates clanking while ocean waves crash nearby.,Wind howls through canyon walls as distant thunder rumbles and a lone coyote yelps.,"Food and oil sizzling as a woman is talking happily, trying to entertain her guests before dinner is served, followed by dinner plates clanking as someone sets the table in anticipation of the meal.","Food and oil sizzling in a stainless steel pan as a woman wearing a red apron is talking in a kitchen, followed by dinner plates clanking on a wooden table.",Food and oil sizzling as a man is talking followed by silverware clinking,Dinner plates clanking.,A woman and oil sizzling as food is talking followed by dinner plates clanking,Wind howls through bare tree branches while distant thunder rumbles and a crow caws sharply.
64,103472,Wind blowing followed by people speaking then a loud burst of thunder,Wind calming followed by people silent then a soft whisper of thunder,People speaking followed by wind blowing then a loud burst of thunder,Wind blowing through tall green trees followed by people speaking in a crowded outdoor market then a loud burst of thunder over a dark stormy sky,"Wind blowing followed by people speaking nervously, as if sensing a storm coming, then a loud burst of thunder caused by the approaching storm.","Wind blowing through tall pine trees in a mountain valley, followed by two people speaking softly in hushed tones—likely a couple on a hiking trail—then a loud burst of thunder echoing across the valley as rain begins to patter on leaves.",Wind blowing followed by people speaking then a soft burst of thunder,Wind blowing followed by people speaking then a soundless burst of thunder,A loud burst of thunder followed by wind blowing then people speaking,A whispering leaf overpowers wind blowing followed by people speaking then a loud burst of thunder,Wind blowing followed by people speaking then a loud burst of thunder while dry leaves crackle underfoot.,A train whistle echoes through a valley as wheels clatter over tracks and distant cows moo in a pasture.,"Wind blowing followed by people speaking nervously, as if sensing a storm coming, then a loud burst of thunder caused by an approaching storm front.","Wind blowing through tall grass followed by two people speaking on a wooden porch, then a loud burst of thunder under a dark, cloudy sky.",Wind blowing followed by people speaking then a loud clap of applause,People are speaking.,People speaking followed by wind blowing then a loud burst of thunder,A train whistle echoes across a valley as wheels grind on steel tracks and distant cows low in a pasture.
65,106621,A heavy rain dies down and begins again,A heavy rain dies down and ends forever,A light rain dies down and begins again,A heavy rain dies down and begins again over a dark gray city street with puddles reflecting streetlights.,"A heavy rain dies down and begins again, as if the sky is catching its breath before pouring once more.","A heavy rain dies down and begins again, drumming on the tin roof of a countryside cottage as a distant thunder rumbles under gray October skies.",A heavy rain dies down and begins again briefly,A silent heavy rain dies down and begins again,A heavy rain begins again and dies down,A single raindrop overpowers heavy rain dying down and beginning again,A heavy rain dies down and begins again while dry leaves crackle underfoot.,A train whistle echoes through a quiet valley as distant cattle low in the dusk.,"A heavy rain dies down and begins again, as if the sky is catching its breath before pouring once more.",A heavy rain dies down and begins again over a dark gray city street lined with wet pavement and glowing streetlights.,A thunderstorm rumbles and begins again,Rain is heard.,A light rain dies down and begins again,A distant train whistle echoes through a valley as wind rustles dry grass.
66,104751,A train sounds horn while traveling on train track,A train sounds silent while traveling on train track,A train track sounds horn while traveling on train,A red freight train sounds horn while traveling on a rusty train track beside a green field.,"A train sounds horn while traveling on train track, warning nearby pedestrians and vehicles of its approach because safety protocols require it.","A vintage steam locomotive sounds its deep, resonant horn while chugging along rusted tracks through a misty countryside at dawn.",A train sounds horn softly while traveling on train track,A silent train sounds horn while traveling on train track,A train sounds horn while traveling on train track,A falling leaf drowns out a train sounding horn while traveling on train track,A train sounds horn while traveling on train track as ocean waves crash nearby.,A chef sizzles onions in a pan as a kettle whistles on the stove.,"A train sounds horn while traveling on train track, warning nearby pedestrians because it's approaching a busy crossing.",A red freight train sounds its horn while traveling on a rusty train track next to a field of tall grass.,A truck sounds horn while traveling on highway,Mechanical noise is heard.,A train track sounds horn while traveling on train,A chef sizzles onions in a pan as a kettle whistles on the stove.
67,104753,A man speaking over an intercom as a helicopter engine runs followed by several gunshots firing,A man speaking over an intercom as a helicopter engine runs followed by several gunshots silencing,A helicopter engine speaking over an intercom as a man runs followed by several gunshots firing,"A bearded man in a gray suit speaking over an intercom as a black helicopter engine runs nearby on a concrete tarmac, followed by several gunshots firing from a window overlooking a city street.","A man speaking over an intercom as a helicopter engine runs followed by several gunshots firing, likely trying to coordinate a rescue mission before the situation escalates further.","A man with a gravelly voice speaking over a crackling airport intercom as a Black Hawk helicopter engine roars nearby, followed by three rapid gunshots firing from a distant rooftop.",A man speaking over an intercom as a helicopter engine runs followed by one gunshot firing,A man speaking over an intercom as a silent helicopter engine runs followed by several gunshots firing,Several gunshots firing followed by a man speaking over an intercom as a helicopter engine runs,A mouse's squeak drowns out a man speaking over an intercom as a helicopter engine runs followed by several gunshots firing,A man speaking over an intercom as a helicopter engine runs followed by several gunshots firing while ocean waves crash nearby.,Wind howls through canyon walls as distant thunder rumbles and a lone coyote yelps under a starlit sky.,"A man speaking over an intercom as a helicopter engine runs followed by several gunshots firing, likely trying to coordinate a rescue mission before the situation escalates further.",A bearded man in a gray suit speaking over an intercom in a control room as a black helicopter engine runs outside the window followed by several gunshots firing from a rooftop nearby,A man speaking over an intercom as a car engine revs followed by several firecrackers popping,A man speaking over an intercom.,A helicopter engine speaking over an intercom as a man runs followed by several gunshots firing,Wind howls through narrow alleyways as distant thunder rumbles and a cat yowls from a rooftop.
68,104752,A man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,A man silent followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,A goat talking followed by a man baaing then a metal gate sliding while ducks quack and wind blows into a microphone,A bearded man in a blue shirt talking followed by a white goat baaing near a wooden fence then a rusty metal gate sliding while three brown ducks quack on a muddy pond and wind blows into a microphone mounted on a tall pole,"A man talking followed by a goat baaing because it’s startled by the sudden noise, then a metal gate sliding as someone rushes to secure the pen, while ducks quack nervously in the wind that blows into the microphone, sensing an approaching storm.","A middle-aged man with a slight Southern accent talks softly into a vintage Shure microphone, followed by a young Nubian goat baaing nervously near a rusty iron gate that slides open with a metallic screech, while three mallard ducks quack urgently from a nearby pond as a steady autumn breeze whistles into the mic.",A man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows loudly into a microphone,A man talking followed by a silent goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,A goat baaing followed by a man talking then a metal gate sliding while ducks quack and wind blows into a microphone,A mouse's squeak overpowers a man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone,A man talking followed by a goat baaing then a metal gate sliding while ducks quack and wind blows into a microphone as owls hoot in the distance,A train whistle echoes across a valley as gravel crunches underfoot and distant church bells chime in the evening air.,"A man talking followed by a goat baaing because it’s startled by the sudden noise, then a metal gate sliding as someone rushes to secure the pen, while ducks quack nervously in the wind that blows into the microphone, sensing an approaching storm.",A bearded man in a blue shirt talking followed by a white goat baaing near a wooden fence then a rusty metal gate sliding while three ducks quack on a muddy pond and wind blows into a microphone near a tall pine tree,A man talking followed by a sheep bleating then a metal gate sliding while geese honk and wind blows into a microphone,A man talking followed by a goat baaing.,A goat talking followed by a man baaing then a metal gate sliding while ducks quack and wind blows into a microphone,A train whistle echoes across a valley as gravel crunches underfoot and distant church bells chime in the evening air.
69,104757,Motorcycle engine running,Motorcycle engine silent,Motorcycle engine stopping,A black motorcycle engine running on a wooden platform in a garage.,"Motorcycle engine running because the rider is impatiently waiting to leave, revving it in anticipation of hitting the open road.",A vintage Harley-Davidson motorcycle engine is rumbling steadily in a sunlit garage on a quiet Sunday morning.,Motorcycle engine running silently,Silent motorcycle engine running,Motorcycle engine running,A falling leaf drowns out a motorcycle engine running,Motorcycle engine running while a frozen lake creaks underfoot.,Wind rustles through tall grass as distant thunder rumbles.,"Motorcycle engine running because the rider is impatiently waiting to leave, revving it in anticipation of hitting the open road.",A black motorcycle engine running on a gravel path next to a forest.,Lawnmower engine running,Mechanical noise is heard.,Motorcycle engine stopping,Wind howls through narrow alleyways as distant thunder rumbles overhead.
70,104756,A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background,A vehicle door closing as a crow caws and birds chirp while vehicles drive by in the background,A crow opens as a vehicle door caws and birds chirp while vehicles drive by in the background,A black sedan's door opening as a crow caws and birds chirp while vehicles drive by in the background next to a sunlit park,"A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background, suggesting someone is stepping out reluctantly into a noisy morning, perhaps dreading the commute ahead.","A rusty sedan door creaks open as a lone crow caws sharply from a nearby oak tree, while sparrows chirp nervously in the hedges; in the distance, a delivery van and two sedans rumble past on a wet city street at dusk.",A vehicle door opening as a crow caws and birds chirp while one vehicle drives by in the background,A vehicle door opening as a silent crow caws and birds chirp while vehicles drive by in the background,A crow caws and birds chirp while vehicles drive by in the background as a vehicle door opening,A single falling leaf drowns out a vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background,A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background and dry leaves crackle underfoot.,"A kettle whistles sharply as steam hisses, followed by the clink of a spoon stirring tea in a ceramic cup.","A vehicle door opening as a crow caws and birds chirp while vehicles drive by in the background, suggesting someone is stepping out reluctantly into a noisy morning, perhaps dreading the commute ahead.",A black sedan's door opens as a crow caws and birds chirp while vehicles drive by in the background on a sunny suburban street.,A vehicle door opening as a child shouts and birds chirp while vehicles drive by in the background,Birds are chirping.,A crow opens as a vehicle door caws and birds chirp while vehicles drive by in the background,A kettle whistles sharply as rain taps against a windowpane and distant thunder rumbles overhead.
71,105402,An engine running and wind with various speech in the background,An engine silent and wind with various speech in the background,An engine silent and wind with various speech in the background,A silver sedan's engine running on a gravel road with wind blowing through tall grass and various speech in the background from people standing near a wooden fence.,"An engine running and wind with various speech in the background, likely because the driver is trying to concentrate while navigating a busy highway, and passengers are chatting nervously about the upcoming turn.","A diesel engine running roughly on a rural highway with wind howling through pine trees, while a group of tourists chatter casually in the background, one mentioning 'Grand Canyon' with excitement.",An engine running and wind with one speech in the background,An engine running and silent wind with various speech in the background,An engine running and wind with various speech in the background,A mouse's squeak drowns out an engine running and wind with various speech in the background,An engine running and wind with various speech in the background while ocean waves crash nearby.,A choir sings in harmony inside a stone cathedral as footsteps echo on marble floors.,"An engine running and wind with various speech in the background, likely because the driver is trying to concentrate while navigating a busy highway, and passengers are chatting nervously about the upcoming turn.",A silver sedan's engine running on a gravel road with wind blowing through tall grass and various speech in the background from people standing near a wooden fence.,An engine running and rain pattering with various speech in the background,Wind is heard.,An engine silent and wind with various speech in the background,A choir sings in harmony inside a stone cathedral as stained glass filters sunlight.
